message_id,status,failure,category,urgency,references_found,references_not_found,amounts,dates
MSG029764,processed,,loan_query,medium,,,,
MSG029765,processed,,kyc,medium,LA012636,,,
MSG029766,processed,,complaint,high,,,,
MSG029767,processed,,loan_query,low,,,411000.0,
MSG029768,processed,,loan_query,low,,,,
MSG029769,processed,,kyc,low,,LA998527,,
MSG029770,processed,,complaint,high,LA009669,,,
MSG029771,processed,,kyc,low,,,,2026-09-29
MSG029772,processed,,loan_query,medium,,,412000.0,
MSG029773,processed,,kyc,medium,,,,
MSG029774,processed,,payment_issue,low,,,,
MSG029775,processed,,kyc,medium,,,,
MSG029776,processed,,complaint,high,,,546000.0,
MSG029777,processed,,complaint,medium,,,,
MSG029778,processed,,complaint,low,,,,
MSG029779,processed,,kyc,high,LA025090,,,
MSG029780,processed,,kyc,low,,,,
MSG029781,processed,,complaint,medium,,,,
MSG029782,processed,,kyc,medium,,,,
MSG029783,processed,,payment_issue,high,,,781000.0,
MSG029784,processed,,complaint,high,,LA931885,,
MSG029785,processed,,loan_query,low,,,,
MSG029786,processed,,kyc,medium,,,,
MSG029787,processed,,payment_issue,medium,,,,
MSG029788,processed,,payment_issue,medium,,,,
MSG029789,processed,,kyc,high,,,,
MSG029790,processed,,kyc,low,,LA919781,,
MSG029791,processed,,payment_issue,medium,,,,
MSG029792,processed,,complaint,medium,,,500000.0,
MSG029793,processed,,complaint,low,,,,
MSG029794,processed,,loan_query,medium,,,,2026-12-28
MSG029795,processed,,loan_query,high,,,,
MSG029796,processed,,loan_query,low,,,,
MSG029797,processed,,payment_issue,medium,,,49000.0,
MSG029798,processed,,payment_issue,medium,,,,
MSG029799,processed,,loan_query,low,,,,
MSG029800,processed,,payment_issue,medium,,,519000.0,
MSG029801,processed,,loan_query,medium,,,384000.0,
MSG029802,processed,,kyc,low,,,,
MSG029803,processed,,payment_issue,medium,,,133000.0,
MSG029804,processed,,loan_query,low,,,,
MSG029805,processed,,complaint,high,LA011011,,,
MSG029806,processed,,complaint,high,,,86000.0,
MSG029807,processed,,kyc,high,,,,
MSG029808,processed,,loan_query,low,,,293000.0,
MSG029809,processed,,kyc,low,,,,
MSG029810,processed,,kyc,high,,,,
MSG029811,processed,,complaint,high,,,,
MSG029812,processed,,payment_issue,high,,,,
MSG029813,processed,,loan_query,low,,,,2026-11-05
MSG029814,processed,,complaint,low,,,,
MSG029815,processed,,loan_query,low,,,,
MSG029816,processed,,complaint,medium,,,,
MSG029817,processed,,payment_issue,medium,,,,
MSG029818,processed,,loan_query,low,,,,
MSG029819,processed,,kyc,medium,,,,
MSG029820,processed,,loan_query,high,,,,
MSG029821,processed,,payment_issue,medium,,,,
MSG029822,processed,,payment_issue,medium,,,68000.0,
MSG029823,processed,,kyc,low,,,,
MSG029824,processed,,payment_issue,high,,,,
MSG029825,processed,,loan_query,medium,,,101000.0,
MSG029826,processed,,complaint,high,LA024869,,,
MSG029827,processed,,payment_issue,medium,,,,
MSG029828,processed,,kyc,medium,,LA913334,,
MSG029829,processed,,loan_query,medium,,,,
MSG029830,processed,,complaint,high,,,,
MSG029831,processed,,complaint,high,LA006472,,,2025-04-30
MSG029832,processed,,payment_issue,medium,,,286000.0,
MSG029833,processed,,complaint,high,,,,
MSG029834,processed,,payment_issue,high,,,727000.0,2026-02-12
MSG029835,processed,,complaint,low,,,,
MSG029836,processed,,payment_issue,high,,LA937716,,2026-10-02
MSG029837,processed,,loan_query,low,,,,2025-09-02
MSG029838,processed,,loan_query,low,,,,
MSG029839,processed,,kyc,low,,,,
MSG029840,processed,,complaint,high,,LA002840,,
MSG029841,processed,,kyc,medium,,,,
MSG029842,processed,,complaint,high,,,,2026-08-07
MSG029843,processed,,loan_query,medium,,,347000.0,
MSG029844,processed,,payment_issue,high,,,564000.0,
MSG029845,processed,,loan_query,low,,,,
MSG029846,processed,,payment_issue,low,,,,
MSG029847,processed,,complaint,high,,,830000.0,
MSG029848,processed,,payment_issue,high,,,334000.0,
MSG029849,processed,,complaint,medium,,,,
MSG029850,processed,,loan_query,high,,,,
MSG029851,processed,,loan_query,low,,,,
MSG029852,processed,,payment_issue,medium,,,,
MSG029853,processed,,payment_issue,high,LA010745,,,
MSG029854,processed,,loan_query,low,,,,
MSG029855,processed,,payment_issue,high,,,,2025-12-01
MSG029856,processed,,complaint,high,,,,
MSG029857,processed,,payment_issue,high,,,,
MSG029858,processed,,payment_issue,medium,,,,
MSG029859,processed,,kyc,medium,,,,
MSG029860,processed,,loan_query,low,,,,
MSG029861,processed,,kyc,high,,,,
MSG029862,processed,,complaint,medium,,,689000.0,
MSG029863,processed,,loan_query,high,,,,
MSG029864,processed,,loan_query,medium,,,,
MSG029865,processed,,kyc,high,,,,
MSG029866,processed,,payment_issue,medium,,LA960111,,
MSG029867,processed,,payment_issue,medium,,,,
MSG029868,processed,,complaint,medium,,,9000.0,
MSG029869,processed,,loan_query,medium,,,,
MSG029870,processed,,payment_issue,high,,,704000.0,
MSG029871,processed,,complaint,medium,,,191000.0,
MSG029872,processed,,loan_query,low,,,,
MSG029873,processed,,kyc,medium,,,,
MSG029874,processed,,kyc,low,LA020136,,,
MSG029875,processed,,complaint,medium,,,149000.0,
MSG029876,processed,,kyc,medium,,,,
MSG029877,processed,,loan_query,medium,,,,
MSG029878,processed,,loan_query,low,,,,
MSG029879,processed,,kyc,high,,,,
MSG029880,processed,,kyc,high,,,,
MSG029881,processed,,payment_issue,medium,,,283000.0,
MSG029882,processed,,payment_issue,low,,,,
MSG029883,processed,,loan_query,low,,,,
MSG029884,processed,,kyc,low,,,,
MSG029885,processed,,kyc,medium,,,,2025-10-31
MSG029886,processed,,complaint,high,,,,
MSG029887,processed,,complaint,high,,,413000.0,
MSG029888,processed,,loan_query,low,,,,
MSG029889,processed,,loan_query,low,,,,
MSG029890,processed,,complaint,medium,,,,
MSG029891,processed,,loan_query,high,,,,
MSG029892,processed,,complaint,high,LA007459,,,
MSG029893,processed,,payment_issue,high,,,775000.0,
MSG029894,processed,,kyc,medium,,,,
MSG029895,processed,,complaint,medium,,,,
MSG029896,processed,,loan_query,medium,,,621000.0,
MSG029897,processed,,loan_query,low,,,,
MSG029898,processed,,complaint,high,LA004730,,,
MSG029899,processed,,loan_query,low,,,,
MSG029900,processed,,complaint,high,LA024747,,,
MSG029901,processed,,payment_issue,medium,,,,
MSG029902,processed,,payment_issue,high,,,,
MSG029903,processed,,complaint,high,,LA906663,,
MSG029904,processed,,payment_issue,high,,,,
MSG029905,processed,,complaint,high,,,,
MSG029906,processed,,payment_issue,high,,,,
MSG029907,processed,,kyc,low,,,,
MSG029908,processed,,loan_query,medium,,,,
MSG029909,processed,,loan_query,high,,,,
MSG029910,processed,,complaint,low,,,297000.0,
MSG029911,processed,,loan_query,medium,,,,
MSG029912,processed,,payment_issue,high,,,,
MSG029913,processed,,complaint,high,,,,
MSG029914,processed,,payment_issue,medium,,,192000.0,
MSG029915,processed,,payment_issue,high,,,,2025-12-29
MSG029916,processed,,kyc,low,,,,
MSG029917,processed,,loan_query,medium,,,,
MSG029918,processed,,loan_query,low,,,838000.0,
MSG029919,processed,,complaint,low,,,,2026-11-08
MSG029920,processed,,loan_query,low,,,,
MSG029921,processed,,complaint,high,,,,
MSG029922,processed,,kyc,high,,,,
MSG029923,processed,,complaint,low,,,,
MSG029924,processed,,payment_issue,low,,,,
MSG029925,processed,,loan_query,low,,,,
MSG029926,processed,,complaint,high,LA016293,,,
MSG029927,processed,,loan_query,low,LA014252,,,
MSG029928,processed,,kyc,high,,,,
MSG029929,processed,,loan_query,low,,,,
MSG029930,processed,,loan_query,low,,,,
MSG029931,processed,,payment_issue,high,,,,
MSG029932,processed,,loan_query,low,,,,
MSG029933,processed,,complaint,medium,,,,
MSG029934,processed,,complaint,high,,,,
MSG029935,processed,,complaint,medium,,,,
MSG029936,processed,,loan_query,medium,,,853000.0,
MSG029937,processed,,complaint,high,,,,
MSG029938,processed,,payment_issue,high,,,,
MSG029939,processed,,loan_query,medium,,,,2026-07-04
MSG029940,processed,,payment_issue,high,,,62000.0,
MSG029941,processed,,complaint,high,LA007943,,,
MSG029942,processed,,complaint,medium,,,,
MSG029943,processed,,kyc,low,,,,
MSG029944,processed,,kyc,low,,,,
MSG029945,processed,,kyc,low,,,,
MSG029946,processed,,kyc,low,,,,
MSG029947,processed,,payment_issue,low,,,,
MSG029948,processed,,payment_issue,high,,,9000.0,
MSG029949,processed,,kyc,medium,,,,
MSG029950,processed,,complaint,high,,,,
MSG029951,processed,,loan_query,medium,,,,
MSG029952,processed,,complaint,medium,,LA975897,,
MSG029953,processed,,kyc,low,,,,
MSG029954,processed,,complaint,high,,,,
MSG029955,processed,,payment_issue,medium,,,,
MSG029956,processed,,kyc,medium,,,,
MSG029957,processed,,kyc,high,,,,
MSG029958,processed,,kyc,medium,,,,
MSG029959,processed,,loan_query,medium,,,,
MSG029960,processed,,complaint,high,,,,
MSG029961,processed,,payment_issue,high,,,,
MSG029962,processed,,complaint,medium,LA000590,,,
MSG029963,processed,,payment_issue,low,,,,
MSG029964,processed,,payment_issue,high,,,,
MSG029965,processed,,payment_issue,medium,,,751000.0,2025-08-31
MSG029966,processed,,payment_issue,low,,,,
MSG029967,processed,,complaint,medium,,LA946010,,
MSG029968,processed,,kyc,high,,,,
MSG029969,processed,,loan_query,medium,,,162000.0,
MSG029970,processed,,payment_issue,medium,,,,2026-06-03
MSG029971,processed,,payment_issue,medium,,,,
MSG029972,processed,,loan_query,low,,,,
MSG029973,processed,,loan_query,high,,,,
MSG029974,processed,,kyc,medium,,,,
MSG029975,processed,,kyc,medium,,LA979319,,
MSG029976,processed,,loan_query,low,,,,
MSG029977,processed,,complaint,medium,,,,2025-08-09
MSG029978,processed,,loan_query,high,,,,
MSG029979,processed,,kyc,medium,,,333000.0,
MSG029980,processed,,payment_issue,high,LA001759,,,
MSG029981,processed,,kyc,high,,,,2025-08-07
MSG029982,processed,,kyc,low,,,,
MSG029983,processed,,kyc,medium,,,,
MSG029984,processed,,payment_issue,high,,,,
MSG029985,processed,,loan_query,low,,,,
MSG029986,processed,,loan_query,low,,,,
MSG029987,processed,,loan_query,low,,,,
MSG029988,processed,,complaint,low,,LA946360,,
MSG029989,processed,,payment_issue,medium,,,,
MSG029990,processed,,complaint,high,,,,
MSG029991,processed,,payment_issue,high,,,,
MSG029992,processed,,loan_query,medium,,,,
MSG029993,processed,,payment_issue,low,,,,
MSG029994,processed,,payment_issue,high,,,,2026-04-08
MSG029995,processed,,kyc,medium,,,,
MSG029996,processed,,loan_query,low,,,,
MSG029997,processed,,kyc,high,,,,
MSG029998,processed,,loan_query,high,,,682000.0,
MSG029999,processed,,complaint,high,LA022513,,,
MSG030000,processed,,loan_query,medium,,,,
MSX000,failed,Message is not a valid text string,,,,,,
MSX001,failed,Message is not a valid text string,,,,,,
MSX002,failed,Message is not a valid text string,,,,,,
MSX003,failed,Message is not a valid text string,,,,,,
MSX004,failed,Message is not a valid text string,,,,,,
MSX005,failed,Message is not a valid text string,,,,,,
MSX006,failed,Message is not a valid text string,,,,,,
MSX007,failed,Message is not a valid text string,,,,,,
MSX008,failed,Message is not a valid text string,,,,,,
MSX009,failed,Message is not a valid text string,,,,,,
MSX010,failed,Message is not a valid text string,,,,,,
MSX011,failed,Message is not a valid text string,,,,,,
MSX012,failed,Message is not a valid text string,,,,,,
MSX013,failed,Message is not a valid text string,,,,,,
MSX014,failed,Message is not a valid text string,,,,,,
MSX015,failed,Message is not a valid text string,,,,,,
MSX016,failed,Message is not a valid text string,,,,,,
MSX017,failed,Message is not a valid text string,,,,,,
MSX018,failed,Message is not a valid text string,,,,,,
MSX019,failed,Message is not a valid text string,,,,,,
MSX100,failed,Message is too long,,,,,,
MSX101,failed,Message is too long,,,,,,
MSX102,failed,Message is too long,,,,,,
MSX103,failed,Message is too long,,,,,,
MSX104,failed,Message is too long,,,,,,
MSX105,failed,Message is too long,,,,,,
MSX106,failed,Message is too long,,,,,,
MSX107,failed,Message is too long,,,,,,
MSX108,failed,Message is too long,,,,,,
MSX109,failed,Message is too long,,,,,,
MSX200,failed,Message contains corrupted replacement characters,,,,,,
MSX201,failed,Message contains corrupted replacement characters,,,,,,
MSX202,failed,Message contains corrupted replacement characters,,,,,,
MSX203,failed,Message contains corrupted replacement characters,,,,,,
MSX204,failed,Message contains corrupted replacement characters,,,,,,
MSX205,failed,Message contains corrupted replacement characters,,,,,,
MSX206,failed,Message contains corrupted replacement characters,,,,,,
MSX207,failed,Message contains corrupted replacement characters,,,,,,
MSX208,failed,Message contains corrupted replacement characters,,,,,,
MSX209,failed,Message contains corrupted replacement characters,,,,,,
MSX210,failed,Message contains corrupted replacement characters,,,,,,
MSX211,failed,Message contains corrupted replacement characters,,,,,,
MSX212,failed,Message contains corrupted replacement characters,,,,,,
MSX213,failed,Message contains corrupted replacement characters,,,,,,
MSX214,failed,Message contains corrupted replacement characters,,,,,,
