message_id,references_found,references_not_found,amounts,dates
MSG000471,,,858000.0,
MSG000472,,LA915760,,
MSG000474,LA029830,,,
MSG000476,LA030021,,,
MSG000477,,,126000.0,
MSG000481,,,248000.0,
MSG000482,,,299000.0,
MSG000483,,LA032917,,
MSG000485,LA007175,,,
MSG000490,LA019122,,,
MSG000492,,,128000.0,2025-12-17
MSG000495,LA032815,,,
MSG000498,,,181000.0,
MSG000499,LA029783,,,
MSG000501,,,178000.0,
MSG000504,,,574000.0,
MSG000506,LA019982,,,
MSG000507,,,479000.0,
MSG000520,,,,2025-07-31
MSG000524,,LA987583,,
MSG000527,LA006533,,,
MSG000528,,,422000.0,
MSG000538,LA002790,,,
MSG000539,LA008583,,,
MSG000543,LA002159,,,
MSG000545,LA006473,,,
MSG000556,,,140000.0,
MSG000557,LA002482,,401000.0,
MSG000560,,LA984183,,
MSG000562,LA025173,,,
MSG000566,LA019487,,,
MSG000571,,,117000.0,
MSG000574,,LA924279,,
MSG000575,,,753000.0,
MSG000576,LA017115,,,
MSG000578,LA026727,,,
MSG000585,LA013574,,,
MSG000586,,,739000.0,2025-09-21
MSG000589,,,,2025-09-28
MSG000594,,LA998164,,
MSG000595,LA013315,,,
MSG000598,LA006859,,,
MSG000602,LA014693,,,
MSG000607,,,615000.0,2025-02-01
MSG000610,,,120000.0,
MSG000613,,,600000.0,2025-05-11
MSG000615,,,130000.0,
MSG000616,,,763000.0,
MSG000617,LA005782,,,
MSG000622,,,195000.0,
MSG000633,LA019467,,,
MSG000637,,,,2025-08-13
MSG000638,,,,2026-06-12
MSG000644,LA032918,,,
MSG000647,,,358000.0,
MSG000651,,,,2026-05-21
MSG000653,LA017609,,,
MSG000655,,,472000.0,
MSG000657,LA009890,,,
MSG000658,LA022732,,,
MSG000663,LA027068,,,
MSG000666,,,179000.0,
MSG000667,LA015583,,,
MSG000668,,,,2025-04-24
MSG000673,LA008294,,,
MSG000675,,,347000.0,
MSG000678,,,599000.0,
MSG000679,,,294000.0,
MSG000682,,,767000.0,
MSG000683,,,513000.0,
MSG000684,,,83000.0,
MSG000685,,,571000.0,
MSG000686,,,265000.0,
MSG000687,,,500000.0,2025-02-04
MSG000689,,LA952701,,
MSG000694,,LA932190,,
MSG000695,LA023584,,,
MSG000696,LA006203,,,
MSG000703,,,385000.0,2025-11-27
MSG000705,,,525000.0,
MSG000709,,,483000.0,
MSG000710,,,799000.0,
MSG000711,,,476000.0,
MSG000712,,LA922344,,
MSG000713,,,12000.0,
MSG000716,,LA936471,,2026-03-06
MSG000717,,,138000.0,
MSG000719,,LA903755,,
MSG000721,,,716000.0,2025-01-11
MSG000722,,,219000.0,
MSG000723,,,,2026-10-15
MSG000729,LA032913,,,
MSG000733,LA010510,,,
MSG000734,LA011576,,,
MSG000737,,,,2025-08-16
MSG000739,,,,2026-12-23
MSG000745,,LA969069,,
MSG000746,,,172000.0,
MSG000747,,,855000.0,
MSG000748,LA024016,,,
MSG000757,,,441000.0,
MSG000760,LA000402,,,
MSG000763,,,,2026-11-12
MSG000766,LA006726,,,
MSG000769,LA004158,,,
MSG000776,LA012921,,,
MSG000779,,,127000.0,2026-02-13
MSG000781,,LA970781,,
MSG000783,,,,2025-02-01
MSG000787,,LA966777,,
MSG000789,,,,2025-10-29
MSG000790,,,,2025-06-11
MSG000791,,LA954897,,
MSG000795,,,,2026-05-10
MSG000798,,,477000.0,
MSG000799,,,329000.0,
MSG000807,,,14000.0,
MSG000809,LA018283,,,
MSG000810,,,418000.0,2026-12-30
MSG000811,,,461000.0,
MSG000816,,,729000.0,
MSG000819,,,780000.0,
MSG000820,,,,2026-07-13
MSG000821,,,790000.0,2025-07-12
MSG000824,,,485000.0,
MSG000825,,,443000.0,
MSG000826,,,662000.0,
MSG000830,,,319000.0,
MSG000831,LA005953,,,2025-05-05
MSG000833,,,25000.0,
MSG000835,,,,2026-07-23
MSG000836,,,,2025-08-03
MSG000840,,,35000.0,
MSG000844,LA011377,,,
MSG000845,,LA025503,,
MSG000846,,,,2025-10-11
MSG000848,,,376000.0,
MSG000851,,,,2026-09-24
MSG000859,,,317000.0,
MSG000865,,,189000.0,
MSG000873,,,519000.0,
MSG000878,,,492000.0,
MSG000880,,,292000.0,
MSG000890,,,,2026-05-16
MSG000893,,,282000.0,
MSG000897,,,,2026-04-25
MSG000905,,,,2025-05-27
MSG000907,,,,2026-07-19
MSG000910,,,711000.0,
MSG000911,,,,2025-08-21
MSG000912,,,193000.0,
MSG000915,LA031019,,,
MSG000916,LA000474,,,
MSG000917,LA020726,,,
MSG000921,,,153000.0,
MSG000922,,,,2026-08-07
MSG000924,,,316000.0,
MSG000925,,,97000.0,
MSG000927,,,827000.0,
MSG000933,,,236000.0,
MSG000937,,,,2025-01-18
MSG000939,,,398000.0,
MSG000942,,,,2026-09-05
MSG000945,LA000852,,,
MSG000946,LA017196,,,
MSG000948,,,,2025-08-01
MSG000952,,,39000.0,
MSG000953,LA029023,,,
MSG000954,,,365000.0,
MSG000959,LA026350,,,
MSG000960,LA007716,,,
MSG000961,LA008565,,,
MSG000966,,,,2025-12-24
MSG000967,,,333000.0,
MSG000972,,LA936274,,
MSG000974,,,630000.0,
MSG000976,,LA025877,,
MSG000978,,,860000.0,
MSG000979,,,51000.0,
MSG000980,,,,2025-02-26
MSG000982,LA027058,,,
MSG000990,LA009298,,,
MSG000991,LA000099,,,
MSG000992,,LA972392,,
MSG000996,,,,2026-04-11
MSG000998,,,,2025-01-26
MSG001002,LA014680,,,
MSG001003,,,466000.0,
MSG001009,,,877000.0,
MSG001013,,LA987137,,
MSG001014,LA020469,,,
MSG001017,LA014658,,,
MSG001022,LA030848,,,
MSG001025,,,793000.0,
MSG001029,,,675000.0,
MSG001031,,LA908762,,
MSG001032,LA026858,,,2026-02-17
MSG001033,,,659000.0,
MSG001035,LA026022,,,
MSG001040,,,727000.0,
MSG001041,LA000677,,,
MSG001042,LA028170,,,
MSG001044,,,76000.0,
MSG001045,LA024946,,,
MSG001050,LA013114,,182000.0,
MSG001052,,,58000.0,
MSG001053,,,228000.0,2026-12-17
MSG001055,,,626000.0,2025-05-17
MSG001059,LA019476,,,2025-06-02
MSG001062,,,,2026-01-14
MSG001065,,,128000.0,
MSG001072,,,,2025-01-17
MSG001073,,,591000.0,
MSG001075,,LA938287,,
MSG001076,,LA999551,,
MSG001077,,LA027204,,
MSG001078,,,526000.0,
MSG001082,LA029901,,,
MSG001084,,,212000.0,
MSG001088,,,,2025-09-15
MSG001091,LA018195,,260000.0,2025-01-19
MSG001093,,,478000.0,
MSG001097,LA001366,,,
MSG001099,LA020431,,,
MSG001101,,,34000.0,
MSG001105,LA022465,,,
MSG001107,,,356000.0,
MSG001109,,LA986196,,
MSG001110,,,794000.0,
MSG001112,,LA999433,,
MSG001117,,,,2025-10-29
MSG001122,LA001949,,,
MSG001123,,LA918329,,
MSG001124,,,,2025-09-26
MSG001128,,,,2025-03-22
MSG001130,LA026981,,,
MSG001131,,,684000.0,
MSG001132,LA006681,,159000.0,
MSG001134,,,,2026-09-30
MSG001135,LA029387,,,
MSG001139,,,104000.0,
MSG001140,LA018199,,,2025-11-06
MSG001148,,LA946499,,
MSG001151,,LA913035,,
MSG001152,,,776000.0,
MSG001157,LA010653,,,
MSG001161,,LA986605,,
MSG001164,LA001945,,,
MSG001169,,,267000.0,
MSG001181,,,,2025-02-12
MSG001183,LA000596,,,
MSG001186,,,305000.0,
MSG001188,,,461000.0,
MSG001190,,,632000.0,2025-08-08
MSG001192,,,192000.0,
MSG001193,LA024496,,,
MSG001195,,,530000.0,
MSG001196,,,576000.0,
MSG001198,,LA951881,,
MSG001201,,,,2026-06-23
MSG001203,,,324000.0,
MSG001204,,,875000.0,
MSG001211,LA012461,,,
MSG001212,,,,2025-02-23
MSG001214,,,728000.0,
MSG001216,,,734000.0,
MSG001218,LA027722,,,
MSG001222,,,138000.0,
MSG001223,LA007644,,,
MSG001232,,LA924356,,
MSG001235,,LA909032,,
MSG001237,,,348000.0,
MSG001239,,,374000.0,2026-08-13
MSG001240,,,586000.0,
MSG001241,,LA973755,,
MSG001246,,,427000.0,
MSG001248,,,319000.0,
MSG001249,,,191000.0,
MSG001250,,,593000.0,
MSG001256,,,,2025-08-16
MSG001257,,LA981183,,
MSG001259,,LA987921,,
MSG001264,LA030371,,,
MSG001269,LA031070,,,
MSG001270,,,738000.0,
MSG001272,,LA997136,,
MSG001274,LA003372,,,
MSG001276,,,,2025-05-09
MSG001277,,,181000.0,
MSG001280,LA021372,,,
MSG001284,LA031010,,8000.0,2026-05-07
MSG001289,,LA981465,,
MSG001290,LA010684,,,
MSG001292,,LA978630,,
MSG001293,LA002239,,,
MSG001294,LA028895,,,
MSG001295,,,,2025-09-03
MSG001298,,,482000.0,
MSG001299,,LA981176,,
MSG001302,LA015659,,501000.0,
MSG001305,,,,2026-02-09
MSG001308,LA000898,,,
MSG001309,LA027728,,,
MSG001310,,,,2025-03-21
MSG001312,,,852000.0,
MSG001313,,,191000.0,
MSG001315,,,151000.0,2026-07-22
MSG001317,,LA999868,,2025-06-30
MSG001319,LA022428,,,
MSG001321,,LA002329,,
MSG001323,,LA946302,,
MSG001325,,LA975856,,
MSG001326,,,,2026-09-13
MSG001332,,,65000.0,
MSG001333,,,403000.0,
MSG001338,,,,2026-08-12
MSG001340,,,835000.0,2026-08-04
MSG001341,,,,2026-05-28
MSG001342,,,403000.0,
MSG001344,,,369000.0,
MSG001345,,LA008567,,
MSG001346,LA000607,,,
MSG001347,,,,2025-04-26
MSG001348,,,184000.0,
MSG001349,,,,2026-08-03
MSG001354,LA031508,,,
MSG001355,,,,2025-03-28
MSG001358,,,636000.0,
MSG001360,,,382000.0,
MSG001365,LA000829,,,
MSG001371,,,449000.0,2026-02-24
MSG001379,LA026281,,,
MSG001380,,,110000.0,
MSG001383,,,646000.0,
MSG001386,,,,2026-02-27
MSG001387,,,90000.0,
MSG001390,LA016898,,675000.0,
MSG001393,,,,2026-03-03
MSG001399,,,751000.0,
MSG001401,,,147000.0,
MSG001402,,,572000.0,
MSG001406,LA019253,,,
MSG001408,,,,2025-07-07
MSG001411,LA026793,,,
MSG001412,LA029531,,,
MSG001413,,,747000.0,
MSG001414,,,,2026-04-08
MSG001419,,,391000.0,
MSG001420,LA004218,,,
MSG001423,,,,2026-08-22
MSG001427,,,530000.0,
MSG001428,,,66000.0,
MSG001434,,,766000.0,2026-11-14
MSG001435,,,,2026-12-13
MSG001438,,,,2025-06-28
MSG001439,,,22000.0,
MSG001447,LA000596,,,
MSG001449,,,150000.0,
MSG001450,,LA981998,,
MSG001451,,LA911627,818000.0,
MSG001453,,LA969069,,
MSG001454,,,,2025-11-04
MSG001460,LA004124,,,
MSG001462,LA022548,,,
MSG001467,,,,2026-01-10
MSG001472,,LA933882,,
MSG001475,LA018776,,,
MSG001477,LA002775,,,
MSG001480,,,,2025-01-30
MSG001485,,,,2026-06-08
MSG001486,LA007767,,,
MSG001489,,,576000.0,
MSG001494,,,735000.0,
MSG001496,,,140000.0,
MSG001502,LA017746,,,
MSG001504,,LA913245,,
MSG001511,,,,2025-09-28
MSG001514,,,,2025-07-07
MSG001515,,,458000.0,
MSG001522,,,841000.0,
MSG001523,,,8000.0,
MSG001525,LA024124,,,2026-02-06
MSG001528,,,,2026-02-26
MSG001530,,,340000.0,
MSG001533,,,417000.0,
MSG001545,,,137000.0,
MSG001546,,LA917036,,
MSG001548,,,380000.0,
MSG001549,,,513000.0,
MSG001552,,,413000.0,
MSG001553,,,754000.0,
MSG001554,,,867000.0,
MSG001556,,,166000.0,
MSG001557,,,,2025-04-20
MSG001558,,,,2025-12-29
MSG001561,,,404000.0,
MSG001562,LA011350,,,
MSG001565,,,601000.0,
MSG001570,,,383000.0,
MSG001571,,,11000.0,
MSG001572,LA031338,,,
MSG001573,LA032749,,,
MSG001581,LA025298,,,
MSG001584,,,,2026-02-09
MSG001595,LA015009,,,
MSG001599,,,,2025-03-29
MSG001603,,,25000.0,
MSG001604,LA028949,,,
MSG001607,,LA911418,,
MSG001613,,,82000.0,
MSG001614,,,707000.0,
MSG001617,,,876000.0,
MSG001627,,,399000.0,
MSG001628,,,783000.0,
MSG001630,LA024048,,,
MSG001635,,,442000.0,
MSG001637,,LA989773,,
MSG001644,,LA977191,,
MSG001647,,,505000.0,
MSG001652,,,269000.0,2025-10-31
MSG001653,,,459000.0,
MSG001657,LA017171,,,2025-09-13
MSG001659,,LA910214,,
MSG001661,,,138000.0,2025-08-06
MSG001666,LA014659,,202000.0,2026-01-22
MSG001668,,,129000.0,
MSG001669,,,,2025-12-05
MSG001677,LA027470,,,
MSG001678,,LA962545,,2025-01-28
MSG001679,,LA966042,,
MSG001680,,,543000.0,
MSG001682,,,145000.0,
MSG001685,,,481000.0,
MSG001686,,,174000.0,
MSG001689,,,,2026-01-21
MSG001694,,,267000.0,
MSG001695,LA018401,,,
MSG001698,,,456000.0,
MSG001699,LA006061,,,
MSG001701,LA032995,,,
MSG001704,,LA951937,,
MSG001705,,,181000.0,
MSG001706,,,692000.0,
MSG001709,,,,2025-09-15
MSG001711,,,789000.0,
MSG001713,LA002262,,,
MSG001714,LA022960,,,
MSG001715,LA021666,,,
MSG001719,,,300000.0,
MSG001720,,,515000.0,
MSG001726,,,655000.0,2025-07-05
MSG001734,LA019365,,,
MSG001736,LA001720,,,
MSG001737,,,818000.0,
MSG001743,,LA960610,,
MSG001744,,,602000.0,
MSG001749,,,858000.0,
MSG001750,LA016271,,,
MSG001754,,,329000.0,
MSG001756,LA029451,,,
MSG001757,,,,2025-12-28
MSG001759,LA007938,,,
MSG001760,,,154000.0,
MSG001761,,,359000.0,
MSG001762,,LA990725,,
MSG001766,,,,2026-12-14
MSG001767,,,280000.0,
MSG001768,,,,2025-07-19
MSG001772,,LA951884,,
MSG001774,,,816000.0,
MSG001776,,,707000.0,2025-03-29
MSG001779,LA022847,,,
MSG001787,,,,2025-06-30
MSG001788,LA028344,,,
MSG001790,,,417000.0,
MSG001792,,LA031421,,2025-08-16
MSG001793,LA017058,,,2025-01-03
MSG001797,,LA965958,,
MSG001800,,,822000.0,2025-02-04
MSG001803,,,358000.0,
MSG001804,LA010379,,,
MSG001806,,,,2025-08-03
MSG001807,LA023112,,,2026-06-22
MSG001810,,,896000.0,
MSG001812,,LA957109,,
MSG001814,,,218000.0,2025-03-05
MSG001815,,,,2025-09-13
MSG001822,LA016057,,,
MSG001825,,,390000.0,
MSG001830,LA020714,,,
MSG001831,LA024503,,,
MSG001832,,,797000.0,
MSG001837,LA023468,,,
MSG001839,LA008042,,,
MSG001840,,,,2026-09-20
MSG001843,,,,2025-02-19
MSG001846,,,407000.0,
MSG001855,,,,2026-02-28
MSG001857,,,529000.0,
MSG001858,LA024965,,,
MSG001859,,,850000.0,
MSG001863,,,,2025-09-14
MSG001865,,,,2025-12-20
MSG001868,,,,2026-10-25
MSG001869,,,,2025-08-07
MSG001871,,,386000.0,
MSG001875,,,12000.0,
MSG001877,,,739000.0,
MSG001885,LA017898,,,
MSG001887,,,480000.0,
MSG001892,,,,2026-02-17
MSG001893,,,185000.0,
MSG001894,LA030713,,,
MSG001899,LA021783,,,
MSG001901,LA029430,,,
MSG001902,LA032306,,,
MSG001903,,,,2026-04-12
MSG001906,,,,2025-08-26
MSG001908,,,710000.0,2025-01-27
MSG001911,,,893000.0,2025-06-22
MSG001913,,,19000.0,
MSG001919,LA032822,,739000.0,
MSG001920,LA024602,,,
MSG001922,,LA939614,,
MSG001923,,LA989084,,
MSG001925,,,733000.0,
MSG001926,LA019736,,,
MSG001929,,,,2025-07-19
MSG001931,,,886000.0,
MSG001936,LA003909,,,
MSG001938,,,,2025-03-18
MSG001941,,,564000.0,
MSG001943,LA012759,,,
MSG001945,LA015700,,,
MSG001946,LA025779,,,
MSG001951,LA019449,,,
MSG001954,,,729000.0,
MSG001957,,,,2025-05-18
MSG001960,,,164000.0,2025-01-03
MSG001962,LA014506,,,
MSG001966,,,,2025-01-26
MSG001969,LA004857,,,
MSG001971,LA023646,,,
MSG001972,,,,2026-01-15
MSG001978,LA014268,,,
MSG001979,,,,2025-04-08
MSG001986,,LA941392,,
MSG001987,LA001199,,,
MSG001990,,,699000.0,
MSG001991,,,,2025-12-31
MSG001996,,LA979994,,
MSG001999,,,266000.0,
MSG002009,,,259000.0,
MSG002010,LA009400,,,2025-06-02
MSG002012,,,,2026-05-17
MSG002013,,,209000.0,
MSG002016,,,208000.0,
MSG002017,,LA960523,,
MSG002018,,,34000.0,
MSG002019,,LA968494,,
MSG002022,,LA976026,,
MSG002024,,LA973593,,
MSG002028,,,838000.0,
MSG002036,,LA956434,,
MSG002038,,,85000.0,
MSG002043,,,602000.0,
MSG002048,,,576000.0,
MSG002058,,,621000.0,
MSG002060,LA029022,,,
MSG002064,,LA961547,,
MSG002065,LA003932,,,
MSG002070,,,246000.0,
MSG002072,,,,2026-10-11
MSG002073,,,356000.0,
MSG002075,LA013417,,,
MSG002076,LA016922,,,
MSG002077,,,149000.0,
MSG002078,,LA950875,,
MSG002079,,,,2026-09-13
MSG002080,,,,2026-02-18
MSG002081,,,315000.0,
MSG002090,LA002771,,,
MSG002092,,,649000.0,
MSG002093,,,169000.0,2026-04-06
MSG002094,,,,2025-02-04
MSG002096,,,775000.0,
MSG002100,LA005485,,,
MSG002101,,,144000.0,
MSG002102,,,535000.0,
MSG002103,LA031028,,,
MSG002104,LA019509,,,
MSG002106,LA006970,,,
MSG002107,LA005619,,,
MSG002109,,,286000.0,2025-07-17
MSG002113,LA014066,,,
MSG002115,,,117000.0,
MSG002119,LA023908,,,
MSG002120,,,164000.0,
MSG002121,,,516000.0,
MSG002122,LA024130,,,
MSG002125,,,,2025-02-20
MSG002127,,,775000.0,
MSG002129,LA006472,,,
MSG002134,,,324000.0,
MSG002137,LA023974,,,
MSG002138,LA029574,,,
MSG002139,,,58000.0,
MSG002145,LA007503,,392000.0,
MSG002146,LA000871,,,
MSG002148,,,391000.0,
MSG002152,,LA933912,,
MSG002153,,,254000.0,2026-04-22
MSG002154,,,443000.0,
MSG002159,,,93000.0,
MSG002160,,,602000.0,
MSG002162,,LA972689,,
MSG002164,,,,2025-11-14
MSG002165,LA031641,,,
MSG002166,LA017250,,,
MSG002169,,,,2025-06-12
MSG002170,LA025645,,,
MSG002173,,LA987887,,
MSG002175,LA010586,,,
MSG002176,,,,2025-03-11
MSG002177,,,,2026-02-13
MSG002179,,LA970525,,
MSG002182,,,742000.0,
MSG002184,,,,2025-12-01
MSG002185,,,168000.0,
MSG002190,LA009895,,,
MSG002192,,,78000.0,
MSG002197,,,780000.0,
MSG002200,LA007462,,,
MSG002202,LA007195,,,
MSG002204,,,629000.0,
MSG002205,,,,2025-03-06
MSG002206,,,677000.0,
MSG002207,,,162000.0,
MSG002208,,LA977216,,
MSG002213,LA015577,,,2026-10-20
MSG002214,LA003502,,,
MSG002216,,,221000.0,2025-07-13
MSG002219,,LA983033,,
MSG002220,,,250000.0,
MSG002224,LA027790,,,
MSG002225,,LA016897,,
MSG002226,,,390000.0,
MSG002227,LA030202,,,
MSG002229,,,355000.0,
MSG002233,,LA936735,271000.0,
MSG002234,LA016596,,,
MSG002235,,,,2026-04-20
MSG002237,,,548000.0,
MSG002242,,,745000.0,2025-02-11
MSG002243,,LA906255,,
MSG002244,LA010030,,,
MSG002247,,LA933756,,
MSG002249,,,756000.0,
MSG002250,,,,2026-10-10
MSG002251,,,626000.0,
MSG002256,,,731000.0,
MSG002261,,LA975494,,
MSG002265,,,759000.0,
MSG002270,,,695000.0,
MSG002271,LA017016,,,
MSG002278,,,97000.0,
MSG002279,,,77000.0,
MSG002280,,,882000.0,2025-02-21
MSG002282,,,,2026-07-31
MSG002285,,LA981571,,2025-02-10
MSG002288,,,,2026-09-27
MSG002289,,,530000.0,
MSG002292,,,,2025-03-10
MSG002293,,,68000.0,
MSG002294,,LA951375,,
MSG002299,,LA977858,,2025-09-17
MSG002303,LA005111,,,2026-06-02
MSG002310,LA027200,,,
MSG002311,,,885000.0,
MSG002312,,,551000.0,
MSG002314,,,197000.0,
MSG002316,,,,2026-12-24
MSG002317,,,631000.0,
MSG002318,LA023792,,,
MSG002323,,,183000.0,
MSG002324,LA004874,,,
MSG002329,,,412000.0,
MSG002332,,,13000.0,
MSG002338,,,,2025-04-10
MSG002341,LA019228,,,
MSG002342,LA017770,,,
MSG002347,,,370000.0,
MSG002353,LA006663,,,
MSG002355,,,168000.0,
MSG002356,,,583000.0,
MSG002357,LA004040,,,
MSG002359,,,813000.0,
MSG002362,,,723000.0,
MSG002363,,,410000.0,
MSG002371,,,676000.0,
MSG002374,LA025110,,,
MSG002378,,LA907469,,
MSG002380,,LA964411,103000.0,
MSG002387,LA008746,,,
MSG002394,,,41000.0,
MSG002395,,,,2025-09-27
MSG002398,,,713000.0,
MSG002401,,,103000.0,2025-02-28
MSG002404,,,540000.0,2025-01-12
MSG002414,,,249000.0,2025-12-03
MSG002415,,,296000.0,
MSG002416,,,569000.0,
MSG002417,,,516000.0,
MSG002421,LA017150,,,
MSG002423,,LA967900,286000.0,
MSG002426,LA008207,,,
MSG002429,LA021583,,,
MSG002430,,,410000.0,
MSG002431,,,,2026-05-09
MSG002433,LA001616,,453000.0,
MSG002434,LA011875,,,
MSG002436,,,,2025-04-10
MSG002438,LA018072,,,
MSG002441,,,800000.0,
MSG002442,,,546000.0,
MSG002443,,LA950783,,
MSG002444,LA014505,,,
MSG002445,,,,2025-06-20
MSG002446,,,676000.0,
MSG002449,LA020231,,,
MSG002454,,,30000.0,2026-08-15
MSG002455,,LA971653,,
MSG002456,,LA949146,,
MSG002458,,,244000.0,
MSG002462,,,,2026-08-24
MSG002467,,,765000.0,
MSG002472,,,,2026-02-24
MSG002473,LA005976,,,
MSG002477,,,492000.0,
MSG002480,,,311000.0,
MSG002482,,,629000.0,
MSG002487,LA014596,,,
MSG002488,LA024989,,,
MSG002494,,,,2025-05-06
MSG002502,,,756000.0,
MSG002503,LA011028,,,
MSG002505,,,582000.0,
MSG002509,,,721000.0,
MSG002519,LA005204,,,
MSG002521,,LA952362,,
MSG002529,,,,2025-01-15
MSG002531,LA027978,,,
MSG002533,,,,2026-11-27
MSG002541,,,709000.0,
MSG002542,LA025706,,,
MSG002544,,LA960396,,
MSG002550,LA022478,,,
MSG002555,,LA979379,,
MSG002557,,LA924870,,
MSG002558,LA026349,,,
MSG002559,,,774000.0,
MSG002560,LA025723,,,
MSG002561,,,709000.0,
MSG002563,,,,2026-10-19
MSG002572,,,665000.0,
MSG002575,,LA930024,,
MSG002576,,,381000.0,
MSG002577,,LA941883,,
MSG002579,,,415000.0,
MSG002581,,LA920190,,
MSG002586,,,,2026-06-21
MSG002587,,,644000.0,2025-08-27
MSG002590,,,,2026-01-17
MSG002591,,,,2026-02-15
MSG002592,LA024664,,,
MSG002593,,,813000.0,
MSG002598,,,317000.0,
MSG002606,,,822000.0,
MSG002608,,,443000.0,
MSG002612,,,58000.0,
MSG002615,,LA933422,,
MSG002616,LA016837,,,
MSG002618,,,,2025-04-28
MSG002622,,LA000648,,
MSG002623,,,565000.0,
MSG002630,LA019730,,,
MSG002631,LA009042,,,
MSG002632,LA025541,,,
MSG002633,LA015472,,,
