application_id,default_probability,loan_amount_inr,monthly_installment_inr,installment_to_income,credit_band,decision
LP000238,0.912293,955000,26336.94,0.5861,fair,refer
LP001559,0.912001,735000,17293.29,0.4196,poor,refer
LP002073,0.91014,142000,12783.2,0.5468,poor,refer
LP004287,0.909777,267000,12882.6,0.3876,poor,refer
LP000728,0.908705,1500000,41366.93,0.4476,poor,refer
LP001056,0.90846,631000,21719.64,0.393,poor,refer
LP003653,0.908252,1161000,27316.33,0.4184,poor,refer
LP001414,0.907699,1219000,41959.17,0.6076,poor,refer
LP004905,0.907264,1276000,35189.47,0.4709,poor,refer
LP000866,0.906052,1461000,40291.39,0.5935,poor,refer
LP002967,0.905797,853000,20069.62,0.4399,poor,refer
LP000342,0.905238,825000,39805.78,0.4866,poor,refer
LP004237,0.905166,1002000,90202.59,0.8437,poor,refer
LP002805,0.904889,1500000,41366.93,0.5286,fair,refer
LP001304,0.903868,521000,12258.23,0.4907,fair,refer
LP000285,0.903674,462000,10870.07,0.5049,poor,refer
LP004779,0.903279,1373000,47260.0,0.6277,poor,refer
LP003232,0.903213,999000,48201.18,0.563,poor,refer
LP000595,0.902851,912000,21457.79,0.4728,poor,refer
LP004724,0.902424,1308000,30774.99,0.5004,poor,refer
LP004935,0.902114,1474000,34680.69,0.481,poor,refer
LP002761,0.902074,308000,7246.71,0.5007,poor,refer
LP000846,0.901782,1134000,31273.4,0.4626,poor,refer
LP000283,0.901648,325000,15681.06,0.4817,poor,refer
LP002478,0.901274,394000,13561.87,0.4302,poor,refer
LP000701,0.90065,493000,16969.54,0.5654,poor,refer
LP000313,0.900453,416000,20071.76,0.5449,poor,refer
LP002709,0.900431,471000,11081.82,0.3979,poor,refer
LP004035,0.900083,738000,66436.64,1.0727,fair,refer
LP001289,0.899694,632000,17429.27,0.5498,poor,refer
LP003842,0.899513,872000,20516.66,0.4602,fair,refer
LP000177,0.899417,866000,23882.51,0.4493,poor,refer
LP003461,0.898868,224000,10807.87,0.4537,poor,refer
LP003731,0.898723,961000,46367.7,0.5492,poor,refer
LP004970,0.898262,397000,13665.13,0.3943,fair,refer
LP003445,0.89769,555000,17843.22,0.6012,poor,refer
LP001530,0.897688,300000,27006.76,0.4037,poor,refer
LP004673,0.897346,893000,21010.76,0.4781,poor,refer
LP004700,0.896898,595000,53563.41,0.948,poor,refer
LP003772,0.896483,669000,58737.97,0.8074,poor,refer
LP000377,0.896348,306000,10532.82,0.4331,poor,refer
LP001566,0.896318,647000,22270.37,0.4805,poor,refer
LP003221,0.89628,250000,22505.64,0.3501,poor,refer
LP002577,0.895453,1143000,39343.18,0.5706,fair,refer
LP003965,0.89544,415000,20023.51,0.5089,poor,refer
LP002640,0.895032,649000,15269.85,0.4394,poor,refer
LP003573,0.893924,543000,48882.24,0.7504,poor,refer
LP002063,0.893691,530000,14616.32,0.5354,poor,refer
LP004871,0.893367,1500000,41366.93,0.5639,poor,refer
LP001627,0.892486,1209000,28445.69,0.4954,poor,refer
LP002129,0.892455,413000,14215.86,0.4785,poor,refer
LP000804,0.891453,1081000,37209.08,0.5421,fair,refer
LP003411,0.891245,249000,22415.61,1.0439,fair,refer
LP002825,0.89124,458000,22098.24,0.4712,poor,refer
LP001081,0.89096,741000,18704.83,0.586,poor,refer
LP003178,0.890774,1500000,51631.47,0.5205,poor,refer
LP003242,0.890763,651000,22408.06,0.6644,fair,refer
LP001134,0.890294,908000,22920.36,0.5746,poor,refer
LP002029,0.89021,688000,23681.63,0.4392,poor,refer
LP001321,0.890092,1436000,30334.41,0.6331,poor,refer
LP002165,0.889893,916000,31529.62,0.6081,fair,refer
LP002401,0.88904,620000,15650.47,0.5516,poor,refer
LP002037,0.888943,1076000,37036.97,0.6472,fair,refer
LP000327,0.888924,475000,16349.96,0.2463,poor,refer
LP000967,0.88888,555000,13058.2,0.4738,fair,refer
LP001259,0.888255,282000,13606.34,0.7028,poor,refer
LP001928,0.887972,475000,16349.96,0.3866,poor,refer
LP001932,0.887955,1493000,72036.4,0.726,poor,refer
LP003102,0.887706,733000,20214.64,0.5462,fair,refer
LP003826,0.887493,325000,8962.83,0.4383,poor,refer
LP001192,0.887094,865000,23854.93,0.3841,poor,refer
LP004412,0.886558,1156000,31880.11,0.5771,poor,refer
LP001384,0.88632,453000,15592.7,0.4276,poor,refer
LP001580,0.885469,490000,13513.2,0.3579,poor,refer
LP003928,0.885128,1197000,30215.5,0.6118,poor,refer
LP004512,0.884956,997000,27495.22,0.4136,poor,refer
LP004416,0.883381,914000,31460.77,0.5517,poor,refer
LP002765,0.883255,496000,13678.66,0.4023,poor,refer
LP003091,0.883047,259000,23315.84,0.4782,poor,refer
LP002303,0.882891,510000,24607.21,0.4998,poor,refer
LP002691,0.882827,792000,21841.74,0.5012,poor,refer
LP000015,0.88258,1428000,49153.16,0.498,fair,refer
LP001648,0.882287,1226000,42200.12,0.7022,fair,refer
LP000036,0.882041,1022000,28184.67,0.5054,poor,refer
LP003111,0.881923,1461000,36879.57,0.7555,poor,refer
LP004736,0.881565,343000,15788.16,0.5965,poor,refer
LP001229,0.881459,1223000,28775.09,0.5034,poor,refer
LP000431,0.881207,1293000,35658.29,0.4407,fair,refer
LP000834,0.880557,527000,14533.58,0.4211,poor,refer
LP002649,0.880279,1092000,30115.12,0.3335,poor,refer
LP002745,0.879884,409000,9623.07,0.4708,poor,refer
LP003185,0.879479,1500000,35292.42,0.4267,poor,refer
LP001792,0.879374,193000,17374.35,0.7449,fair,refer
LP000364,0.87914,804000,18916.74,0.4244,fair,refer
LP000046,0.878823,425000,14628.92,0.4828,poor,refer
LP002865,0.878766,526000,18105.43,0.5127,fair,refer
LP000818,0.878103,909000,31288.67,0.6783,poor,refer
LP000463,0.878054,219000,19714.94,0.5889,poor,refer
LP002091,0.877923,1154000,101320.8,0.8762,poor,refer
LP001899,0.877645,1204000,33203.86,0.4457,poor,refer
LP001059,0.877342,448000,10540.67,0.4556,fair,refer
LP003306,0.877182,845000,27166.7,0.5096,poor,refer
LP000270,0.877154,1162000,102023.2,1.0103,poor,refer
LP004942,0.877008,1070000,36830.45,0.5632,fair,refer
LP002514,0.876844,683000,23509.53,0.4511,poor,refer
LP004909,0.876277,632000,20318.76,0.5309,poor,refer
LP002836,0.875662,1207000,58237.06,0.7262,poor,refer
LP001349,0.875501,1500000,35292.42,0.4547,poor,refer
LP004193,0.874998,1500000,41366.93,0.3872,poor,refer
LP000057,0.874789,845000,19881.4,0.2946,poor,refer
LP003946,0.874563,407000,11224.23,0.4872,fair,refer
LP001878,0.874475,729000,20104.33,0.4109,poor,refer
LP001650,0.87446,534000,46885.02,0.6527,poor,refer
LP002379,0.873728,340000,9376.5,0.5111,fair,refer
LP002881,0.873611,865000,27809.7,0.5467,poor,refer
LP003604,0.87327,1352000,31810.24,0.4837,poor,refer
LP000907,0.873155,289000,9947.66,0.3699,poor,refer
LP004594,0.872993,437000,20114.95,0.5046,poor,refer
LP004213,0.87257,376000,18141.78,0.5447,fair,refer
LP001447,0.872484,1437000,30355.54,0.4595,poor,refer
LP001365,0.87218,514000,23659.23,0.5551,poor,refer
LP000583,0.871172,640000,20575.96,0.7395,poor,refer
LP000747,0.870661,1015000,21441.11,0.5046,poor,refer
LP004865,0.870222,1500000,72374.14,0.84,poor,refer
LP001190,0.869831,1500000,51631.47,0.4979,poor,refer
LP004995,0.869751,828000,26620.15,0.52,poor,refer
LP001766,0.8696,429000,10093.63,0.3922,poor,refer
LP002476,0.869548,763000,36814.31,0.3171,poor,refer
LP000861,0.869455,1445000,49738.31,0.5015,fair,refer
LP002663,0.869388,1220000,28704.5,0.476,poor,refer
LP001468,0.869121,685000,18890.9,0.4788,poor,refer
LP001147,0.868977,838000,23110.32,0.4304,poor,refer
LP004849,0.868726,503000,45281.34,0.4385,poor,refer
LP003277,0.868349,109000,5259.19,0.3989,poor,refer
LP002849,0.868208,620000,17098.33,0.5281,poor,refer
LP000562,0.868108,1076000,29673.88,0.5322,poor,refer
LP000047,0.868001,716000,34546.59,0.5492,poor,refer
LP001539,0.867843,782000,26917.2,0.4918,poor,refer
LP004678,0.867343,440000,39609.92,0.4901,poor,refer
LP002733,0.867284,504000,17348.17,0.5589,fair,refer
LP000216,0.866799,700000,32220.74,0.5961,poor,refer
LP002822,0.866734,1025000,35281.5,0.5514,poor,refer
LP001295,0.866504,980000,33732.56,0.4333,fair,refer
LP003202,0.866283,750000,20683.46,0.5594,fair,refer
LP003885,0.865753,486000,16728.6,0.6482,fair,refer
LP004783,0.865566,817000,39419.78,0.5444,fair,refer
LP003235,0.865438,577000,15912.48,0.4893,poor,refer
LP000695,0.865339,984000,47477.44,0.7203,fair,refer
LP003317,0.865202,1080000,37174.66,0.538,poor,refer
LP001140,0.865071,1500000,35292.42,0.3927,fair,refer
LP000261,0.864832,1381000,38085.15,0.4495,fair,refer
LP003988,0.864465,482000,16590.91,0.4904,poor,refer
LP004576,0.86443,971000,22845.96,0.5045,fair,refer
LP002661,0.864306,1257000,31730.06,0.5498,poor,refer
LP001872,0.863868,907000,25013.2,0.4681,poor,refer
LP004132,0.8635,959000,30831.79,0.4266,poor,refer
LP000793,0.863423,276000,13316.84,0.5239,poor,refer
LP001810,0.863202,1500000,41366.93,0.4944,fair,refer
LP003648,0.863138,798000,18775.57,0.3809,poor,refer
LP001771,0.863068,1188000,27951.6,0.4769,fair,refer
LP004777,0.862478,355000,17128.55,0.413,poor,refer
LP004762,0.862305,679000,32761.36,0.4794,fair,refer
LP003711,0.861877,498000,17141.65,0.6497,poor,refer
LP001373,0.861862,607000,14281.67,0.3368,poor,refer
LP002225,0.861561,528000,14561.16,0.381,poor,refer
LP003429,0.86108,467000,42040.53,0.4244,poor,refer
LP004208,0.861063,284000,25566.4,0.5009,fair,refer
LP003844,0.86079,506000,24414.21,0.3491,poor,refer
LP003614,0.860283,522000,13176.68,0.6415,poor,refer
LP003272,0.859857,782000,26917.2,0.3423,poor,refer
LP003902,0.859691,1252000,60408.28,0.5994,poor,refer
LP003746,0.859216,898000,30910.04,0.4269,poor,refer
LP002169,0.858584,411000,11334.54,0.4456,poor,refer
LP003632,0.857878,1500000,35292.42,0.3723,poor,refer
LP002694,0.857451,423000,11665.47,0.519,poor,refer
LP002892,0.856201,681000,16022.76,0.4081,poor,refer
LP003449,0.856066,1074000,36968.13,0.3906,poor,refer
LP004242,0.855597,2112000,44614.4,0.5822,poor,refer
LP003296,0.855386,1012000,25545.6,0.5015,poor,refer
LP002998,0.855332,523000,14423.27,0.5259,poor,refer
LP002056,0.855324,785000,21648.69,0.4112,fair,refer
LP003677,0.854956,844000,17828.86,0.5295,poor,refer
LP003953,0.854681,1500000,41366.93,0.3826,poor,refer
LP001325,0.854563,1476000,34727.74,0.339,poor,refer
LP000657,0.854349,541000,26102.94,0.3951,poor,refer
LP000139,0.853885,315000,28357.1,0.4673,poor,refer
LP001125,0.853707,1053000,24775.28,0.5016,fair,refer
LP001430,0.85358,768000,37055.56,0.429,poor,refer
LP003193,0.85348,1500000,35292.42,0.4648,poor,refer
LP001686,0.853462,764000,26297.63,0.3181,poor,refer
LP003939,0.853298,1080000,25410.54,0.4518,poor,refer
LP001897,0.852975,446000,15351.76,0.5167,fair,refer
LP004472,0.852489,1374000,37892.11,0.4475,poor,refer
LP004797,0.852072,320000,15439.82,0.3874,poor,refer
LP003612,0.851949,1500000,41366.93,0.4757,poor,refer
LP003550,0.851533,1500000,35292.42,0.4554,poor,refer
LP003016,0.851239,1500000,41366.93,0.4849,poor,refer
LP004888,0.851198,1500000,41366.93,0.4823,poor,refer
LP003424,0.851096,261000,23495.88,0.3939,fair,refer
LP002928,0.850921,395000,10893.29,0.3912,poor,refer
LP004577,0.850592,671000,15787.48,0.4323,fair,refer
LP004697,0.850345,463000,10893.59,0.4753,fair,refer
LP000450,0.850258,1299000,59792.48,0.7273,poor,refer
LP001200,0.850094,396000,13630.71,0.3736,poor,refer
LP004590,0.84981,381000,8964.28,0.371,fair,refer
LP003955,0.849388,496000,13678.66,0.3859,fair,refer
LP000219,0.849331,824000,74178.58,0.6533,fair,refer
LP004741,0.84857,1500000,41366.93,0.405,fair,refer
LP004256,0.848476,1348000,37175.08,0.5843,fair,refer
LP004322,0.84819,580000,27984.67,0.5207,fair,refer
LP001836,0.848131,680000,32809.61,0.3782,poor,refer
LP004686,0.848036,331000,11393.34,0.4802,poor,refer
LP001846,0.847976,658000,15481.61,0.4508,poor,refer
LP001390,0.847671,554000,15278.19,0.5084,poor,refer
LP002833,0.847469,461000,10846.54,0.443,fair,refer
LP004151,0.847053,931000,32045.93,0.5227,fair,refer
LP000860,0.846983,289000,13944.08,0.388,fair,refer
LP004712,0.846713,692000,33388.6,0.4646,poor,refer
LP003917,0.845955,1198000,55143.49,0.8051,poor,refer
LP001303,0.845953,314000,7926.21,0.536,poor,refer
LP001759,0.845783,304000,27366.85,0.611,poor,refer
LP002989,0.844734,698000,16422.74,0.4808,poor,refer
LP001987,0.84405,279000,13461.59,0.4518,fair,refer
LP002409,0.843934,1235000,39705.18,0.4653,poor,refer
LP003624,0.843582,180000,6195.78,0.481,poor,refer
LP000490,0.843271,238000,6563.55,0.3857,poor,refer
LP004218,0.842922,357000,9845.33,0.5936,fair,refer
LP001862,0.842809,1024000,21631.23,0.4682,poor,refer
LP001127,0.842753,917000,23147.55,0.5051,poor,refer
LP004592,0.842468,455000,15661.54,0.4546,poor,refer
LP000253,0.842012,1249000,60263.54,0.5514,fair,refer
LP003109,0.841384,1106000,50908.76,0.4952,poor,refer
LP001783,0.841013,812000,19104.96,0.488,poor,refer
LP001998,0.840734,406000,18688.03,0.3772,poor,refer
LP004219,0.840163,913000,82190.58,1.1005,fair,refer
LP002721,0.839856,2500000,63106.73,0.6298,poor,refer
LP002132,0.837413,855000,23579.15,0.4269,fair,refer
LP003002,0.837175,701000,33822.85,0.4644,fair,refer
LP004679,0.837143,1252000,34527.6,0.5711,poor,refer
LP001438,0.836452,1500000,51631.47,0.5002,poor,refer
LP000518,0.83592,299000,14426.58,0.4706,poor,refer
LP003137,0.834989,390000,13424.18,0.4144,fair,refer
LP003718,0.834107,1500000,35292.42,0.3779,poor,refer
LP002799,0.83375,649000,13709.63,0.5401,poor,refer
LP004896,0.83251,335000,11531.03,0.3678,poor,refer
LP001503,0.831924,445000,12272.19,0.3419,fair,refer
LP004878,0.831625,1500000,51631.47,0.6157,poor,refer
LP001796,0.83138,388000,18720.78,0.3983,fair,refer
LP003211,0.830496,344000,9486.82,0.4579,poor,refer
LP000273,0.83046,944000,43451.97,0.9334,poor,refer
LP002735,0.82966,1500000,72374.14,0.6279,poor,refer
LP004559,0.8292,1024000,21631.23,0.6128,poor,refer
LP004225,0.829053,1403000,38691.87,0.5664,fair,refer
LP002743,0.82825,190000,9167.39,0.3666,poor,refer
LP000068,0.827953,2500000,52810.61,0.5429,poor,refer
LP004226,0.827016,795000,18704.98,0.4947,fair,refer
LP000962,0.826964,1402000,38664.29,0.3699,poor,refer
LP002021,0.826928,1500000,51631.47,0.6059,poor,refer
LP003914,0.826902,643000,15128.68,0.3931,fair,refer
LP003871,0.826384,489000,42934.03,0.6763,poor,refer
LP003285,0.826335,268000,46110.62,0.503,poor,refer
LP003427,0.826266,208000,10035.88,0.5623,fair,refer
LP003188,0.826258,1500000,35292.42,0.3749,fair,refer
LP002682,0.826032,892000,22516.48,0.5734,poor,refer
LP004875,0.825876,728000,18376.68,0.5673,poor,refer
LP004750,0.824472,686000,33099.11,0.4282,poor,refer
LP001945,0.824351,388000,13355.34,0.2851,poor,refer
LP004510,0.824338,382000,34388.61,1.0759,fair,refer
LP002792,0.82379,1436000,33786.61,0.459,fair,refer
LP002529,0.823682,460000,10823.01,0.476,poor,refer
LP004587,0.823478,750000,20683.46,0.3849,fair,refer
LP000083,0.823431,1500000,51631.47,0.4702,poor,refer
LP001416,0.82292,1500000,135033.82,0.6364,poor,refer
LP002609,0.822691,1120000,38551.49,0.4736,fair,refer
LP000779,0.822121,945000,15566.32,0.4877,poor,refer
LP000441,0.821748,1381000,32492.56,0.4822,fair,refer
LP004479,0.82163,736000,25333.84,0.4199,poor,refer
LP002873,0.821313,1547000,32679.2,0.5665,poor,refer
LP000882,0.820278,1500000,35292.42,0.424,fair,refer
LP003173,0.819876,10767000,82788.91,0.5294,poor,refer
LP001276,0.818708,1021000,25772.79,0.6487,poor,refer
LP002780,0.818518,970000,26750.61,0.4623,poor,refer
LP002243,0.818251,224000,10807.87,0.4248,fair,refer
LP001215,0.817096,418000,13438.68,0.4043,poor,refer
LP002994,0.816888,774000,19537.84,0.5469,poor,refer
LP000610,0.816372,1356000,43595.32,0.4834,poor,refer
LP002760,0.814847,1500000,35292.42,0.2902,poor,refer
LP001090,0.814758,1248000,31502.88,0.6483,poor,refer
LP002776,0.814671,1284000,44196.54,0.4552,poor,refer
LP001829,0.814515,796000,18728.51,0.4818,fair,refer
LP002820,0.814229,624000,54786.99,0.5714,fair,refer
LP002357,0.813708,1018000,21504.48,0.4818,poor,refer
LP001821,0.813193,883000,20775.47,0.349,poor,refer
LP003251,0.811939,1288000,32512.59,0.6602,poor,refer
LP004030,0.810726,186000,16744.19,0.4639,poor,refer
LP003680,0.8102,293000,8080.34,0.2787,fair,refer
LP004610,0.810137,484000,23352.72,0.4299,fair,refer
LP004890,0.810037,370000,17852.29,0.4346,fair,refer
LP001488,0.809809,1043000,22032.59,0.5668,poor,refer
LP004141,0.809053,678000,17114.54,0.5298,poor,refer
LP000639,0.80837,2500000,63106.73,0.6135,poor,refer
LP003144,0.808347,241000,21695.43,0.4656,poor,refer
LP000255,0.808159,451000,12437.66,0.3668,poor,refer
LP002895,0.808008,1140000,18778.42,0.4876,poor,refer
LP000298,0.807923,1244000,39994.53,0.729,poor,refer
LP004882,0.807912,132000,11882.98,0.3277,fair,refer
LP001994,0.807856,1290000,113261.56,0.6268,poor,refer
LP001347,0.807301,1461000,50289.05,0.497,poor,refer
LP001394,0.807229,1761000,37199.79,0.4774,poor,refer
LP001364,0.807148,1210000,25560.33,0.502,poor,refer
LP001359,0.806935,387000,34838.73,0.6466,fair,refer
LP002612,0.806436,2121000,44804.52,0.4755,poor,refer
LP002561,0.805727,1153000,37068.88,0.5713,poor,refer
LP001096,0.80563,374000,17215.08,0.5538,poor,refer
LP000651,0.805407,1073000,49389.79,0.5371,poor,refer
LP001208,0.805342,1099000,23215.54,0.4373,poor,refer
LP000409,0.805257,871000,14347.37,0.4419,poor,refer
LP001884,0.804916,570000,15719.43,0.4775,fair,refer
LP004051,0.804774,180000,8684.9,0.2828,poor,refer
LP004929,0.803586,692000,19083.94,0.4104,fair,refer
LP003490,0.802871,761000,26194.36,0.5474,fair,refer
LP004041,0.802349,1391000,32727.84,0.3925,poor,refer
LP002937,0.8008,2082000,43980.68,0.6182,poor,refer
LP001478,0.800001,1400000,48189.37,0.4732,fair,refer
LP000509,0.799846,1719000,36312.57,0.5181,poor,refer
LP000981,0.799838,978000,26971.24,0.5111,poor,refer
LP003934,0.799636,1500000,41366.93,0.3975,poor,refer
LP002639,0.799504,724000,24920.79,0.4255,poor,refer
LP000964,0.799483,873000,30049.51,0.4587,fair,refer
LP003769,0.799049,1500000,35292.42,0.243,poor,refer
LP001138,0.798743,849000,23413.68,0.4321,poor,refer
LP001989,0.797906,679000,15975.7,0.3397,poor,refer
LP001020,0.797563,638000,21960.58,0.5169,fair,refer
LP003880,0.79671,1500000,35292.42,0.4581,poor,refer
LP001801,0.796246,370000,32485.87,0.6573,poor,refer
LP001212,0.795412,1213000,41752.65,0.5387,fair,refer
LP000397,0.795192,752000,17693.27,0.4558,poor,refer
LP004496,0.795058,1500000,35292.42,0.4598,fair,refer
LP003832,0.794878,839000,75528.92,0.9193,fair,refer
LP003014,0.794635,532000,12517.05,0.3773,poor,refer
LP004916,0.794599,322000,28987.26,0.6139,fair,refer
LP003197,0.794322,1500000,51631.47,0.4514,poor,refer
LP003991,0.794041,440000,12134.3,0.4251,poor,refer
LP003758,0.792793,327000,15051.69,0.4791,fair,refer
LP001401,0.792406,1260000,26616.55,0.4742,poor,refer
LP004307,0.792353,1872000,39544.58,0.5086,poor,refer
LP002067,0.79215,540000,12705.27,0.3687,poor,refer
LP004611,0.792122,1415000,68272.94,0.5493,fair,refer
LP002962,0.791924,801000,16920.52,0.5478,poor,refer
LP004973,0.791892,1255000,20672.73,0.4335,poor,refer
LP003208,0.791815,694000,62475.65,0.9517,fair,refer
LP001432,0.791526,1500000,11533.7,0.8782,fair,refer
LP001770,0.790596,1294000,30445.6,0.4201,poor,refer
LP002838,0.789951,6856000,52716.71,0.505,poor,refer
LP002589,0.789841,151000,13593.4,0.5807,poor,refer
LP001748,0.789647,1513000,38192.19,0.4845,poor,refer
LP002992,0.789458,1229000,56570.41,0.6492,poor,refer
LP004126,0.788988,1044000,33564.54,0.334,poor,refer
LP003183,0.78839,976000,20617.26,0.5998,poor,refer
LP000001,0.788132,1500000,41366.93,0.3798,poor,refer
LP003904,0.787991,816000,73458.4,0.5066,poor,refer
LP003055,0.787945,1500000,51631.47,0.385,poor,refer
LP003963,0.78726,1434000,39546.78,0.4115,poor,refer
LP002552,0.787117,797000,21979.63,0.5137,fair,refer
LP002716,0.786737,232000,11193.87,0.2558,poor,refer
LP004078,0.784857,1317000,36320.16,0.4923,fair,refer
LP000602,0.783667,825000,39805.78,0.4452,fair,refer
LP001799,0.783117,567000,51042.78,0.9201,good,refer
LP001407,0.782965,426000,14663.34,0.3494,poor,refer
LP000642,0.782579,1279000,44024.43,0.366,poor,refer
LP000784,0.782128,1500000,35292.42,0.383,poor,refer
LP003786,0.781919,259000,8915.03,0.3188,fair,refer
LP001340,0.781821,1136000,26728.13,0.4563,fair,refer
LP002370,0.781545,480000,23159.73,0.3906,fair,refer
LP003747,0.781306,1500000,13017.35,1.0047,poor,refer
LP002010,0.780624,1588000,33545.3,0.562,poor,refer
LP003707,0.780363,1207000,41546.12,0.4174,poor,refer
LP004198,0.780242,13229000,106523.49,0.5388,poor,refer
LP000504,0.780099,606000,19482.86,0.4284,poor,refer
LP004419,0.779832,1500000,51631.47,0.4403,fair,refer
LP004354,0.779452,539000,17328.82,0.4356,poor,refer
LP001735,0.779181,459000,22146.49,0.4614,poor,refer
LP001027,0.778666,850000,19999.04,0.5055,fair,refer
LP002452,0.778168,699000,16446.27,0.4325,fair,refer
LP002378,0.777188,983000,20765.13,0.399,poor,refer
LP004694,0.776773,786000,27054.89,0.3723,poor,refer
LP000016,0.775885,699000,42302.46,0.4965,poor,refer
LP002166,0.775691,1273000,20969.23,0.415,poor,refer
LP001308,0.775466,882000,18631.58,0.5238,poor,refer
LP004651,0.77534,686000,60629.82,0.6215,poor,refer
LP003174,0.774877,4290000,32986.39,0.5083,poor,refer
LP000133,0.774374,212000,19084.78,0.4733,poor,refer
LP002120,0.774357,1209000,58333.56,0.4656,poor,refer
LP000209,0.774044,527000,18139.86,0.4822,poor,refer
LP002567,0.773038,1137000,24018.27,0.5407,poor,refer
LP004851,0.772898,273000,13172.09,0.5205,fair,refer
LP001377,0.772195,789000,69273.93,0.541,poor,refer
LP000479,0.772138,411000,14147.02,0.2565,fair,refer
LP001444,0.771389,1804000,57998.49,0.4843,poor,refer
LP001694,0.771212,1379000,32445.5,0.4015,poor,refer
LP002427,0.77067,1500000,41366.93,0.3698,poor,refer
LP002695,0.770531,1500000,35292.42,0.4121,poor,refer
LP002193,0.770006,1209000,19915.01,0.424,poor,refer
LP001638,0.769253,623000,28676.46,0.5739,poor,refer
LP001419,0.769059,4851000,37299.99,0.5137,poor,refer
LP001152,0.768795,835000,17638.74,0.4448,poor,refer
LP003404,0.767926,608000,19547.16,0.5282,poor,refer
LP000425,0.767634,1283000,44162.11,0.4686,fair,refer
LP002479,0.76718,2229000,56265.96,0.5823,fair,refer
LP000339,0.767136,412000,14181.44,0.3003,fair,refer
LP002039,0.76691,1002000,16505.24,0.4683,poor,refer
LP004525,0.765752,874000,30083.93,0.5816,fair,refer
